Column,MissingCount,MissingPercent
PROJECT_ID,0,0.0
PROJECT_NAME,0,0.0
PROJECT_DESCRIPTION,0,0.0
ESTIMATED_COST,78,7.8156312625250495
UPDATE_ACTIVITY,933,93.48697394789579
ENVIRONMENTAL_ASSESSMENT_STAGE,920,92.18436873747495
CONSTRUCTION_TYPE,0,0.0
CONSTRUCTION_SUBTYPE,0,0.0
PROJECT_TYPE,0,0.0
REGION,0,0.0
MUNICIPALITY,0,0.0
DEVELOPER,41,4.108216432865731
ARCHITECT,762,76.35270541082164
PROJECT_STATUS,0,0.0
PROJECT_STAGE,578,57.91583166332666
PROJECT_CATEGORY_NAME,0,0.0
PUBLIC_FUNDING_IND,0,0.0
PROVINCIAL_FUNDING,0,0.0
FEDERAL_FUNDING,0,0.0
MUNICIPAL_FUNDING,0,0.0
OTHER_PUBLIC_FUNDING,0,0.0
GREEN_BUILDING_IND,0,0.0
GREEN_BUILDING_DESC,903,90.48096192384769
CLEAN_ENERGY_IND,0,0.0
INDIGENOUS_IND,0,0.0
INDIGENOUS_NAMES,935,93.687374749499
INDIGENOUS_AGREEMENT,966,96.79358717434869
CONSTRUCTION_JOBS,898,89.97995991983969
OPERATING_JOBS,909,91.08216432865731
STANDARDIZED_START_DATE,466,46.6933867735471
STANDARDIZED_COMPLETION_DATE,448,44.88977955911824
LATITUDE,362,36.27254509018036
LONGITUDE,362,36.27254509018036
LATITUDE_DMS,361,36.172344689378754
LONGITUDE_DMS,361,36.172344689378754
TELEPHONE,127,12.725450901803606
PROJECT_WEBSITE,839,84.06813627254509
FIRST_ENTRY_DATE,0,0.0
LAST_UPDATE,0,0.0
